District_C11ID,Area.Other.Kharif.Pulses,Prod.Other.Kharif.Pulses,Yield.Other.Kharif.Pulses,Area.Moong,Prod.Moong,Yield.Moong,Area.Moth,Prod.Moth,Yield.Moth,Area.Other.Rabi.Pulses,Prod.Other.Rabi.Pulses,Yield.Other.Rabi.Pulses,Area.Peas...Beans..Pulses.,Prod.Peas...Beans..Pulses.,Yield.Peas...Beans..Pulses.,Area.Urad,Prod.Urad,Yield.Urad,Area.Gram,Prod.Gram,Yield.Gram,Area.Masoor,Prod.Masoor,Yield.Masoor,Area.HorseGram,Prod.HorseGram,Yield.HorseGram,Area.Arhar..Tur.,Prod.Arhar..Tur.,Yield.Arhar..Tur.,areaTot,prodTot,yieldTot,diversity,dominant_pulses
442,6780.5,1626,0.2375,3349,1155,0.34,NA,NA,NA,3151,1042.75,0.31,902,336.6666667,0.366666667,2949.25,1231.75,0.42,62985.5,58552.375,0.91625,5758,2369,0.413333333,NA,NA,NA,4012.875,2085.75,0.52125,89888.125,68399.29167,0.760938018,1.974041493,Area.Gram
443,8383,2912.5,0.3475,848,298,0.35,NA,NA,NA,72632.5,40702,0.56,3665,2103.333333,0.58,28193.75,10829.25,0.385,204652.375,189684.375,0.9275,79873.66667,46077,0.576666667,NA,NA,NA,988.5,637,0.6475,399236.7917,293243.4583,0.734510106,2.928985333,Area.Gram
444,536,175,0.3275,260,83,0.32,NA,NA,NA,4264,2055,0.48,704.6666667,259,0.366666667,274,91,0.33,34200.125,32602.375,0.95125,3375.333333,1690,0.5,NA,NA,NA,981.875,591.5,0.605,44596,37546.875,0.841933694,1.655799257,Area.Gram
445,399.5,169,0.4225,215,72,0.33,NA,NA,NA,8851.25,5648,0.6375,696.3333333,304.6666667,0.503333333,1374.25,644.5,0.4925,85278.875,80137.25,0.95375,5040,3550.666667,0.703333333,NA,NA,NA,7004.5,4770.75,0.6775,108859.7083,95296.83333,0.875409596,1.595400574,Area.Gram
446,957.5,298.25,0.3075,547,174,0.32,NA,NA,NA,71124.5,46909,0.66,10812.66667,7034.333333,0.65,1562.75,484.25,0.31,131667.875,133845.5,1.01875,39390,23623,0.596666667,13,5,0.25,20998.875,13811.625,0.6525,277074.1667,226184.9583,0.816333623,3.132422157,Area.Gram
447,13163,3516.75,0.265,517,140,0.27,NA,NA,NA,6257.5,2224.5,0.3475,4111.333333,1478,0.36,10411.75,3381.5,0.3275,28092.375,16290.625,0.56625,3774.666667,1840.333333,0.486666667,294,96.5,0.335,22297.625,15284.125,0.685,88919.25,44252.33333,0.497668765,4.824954351,Area.Gram
448,56.5,15,0.265,7,1,0.14,NA,NA,NA,677,292.25,0.43,368.6666667,122.6666667,0.333333333,16.75,3.75,0.225,25137.5,33294.625,1.34875,167.6666667,71.66666667,0.413333333,2,NA,NA,2525.5,2441.375,0.94875,28958.58333,36242.33333,1.251523008,1.312572006,Area.Gram
449,469,135.25,0.2875,96,29,0.3,NA,NA,NA,6087,3239.5,0.5325,1051.333333,502,0.48,246.75,71.75,0.29,57567.125,71877.625,1.25625,1746,991.3333333,0.566666667,NA,NA,NA,8971.75,9832.75,1.0925,76234.95833,86679.20833,1.137000796,1.691453369,Area.Gram
450,3486.75,680.5,0.195,211,64,0.3,NA,NA,NA,20476.75,6200.75,0.3025,5280,1865.333333,0.346666667,3015.25,482.75,0.1575,18991.125,13387.75,0.7025,16488,5988.333333,0.356666667,5,1,0.2,4491,3572.125,0.805,72444.875,32242.54167,0.445063114,4.681117075,Area.Other.Rabi.Pulses
451,25066.25,7242.5,0.2825,904,374,0.41,NA,NA,NA,70552.75,33023.75,0.465,23485,11472.66667,0.483333333,23922.25,7848.25,0.3275,64708,60686.25,0.93625,40899.33333,19100.66667,0.466666667,NA,NA,NA,6432.25,8092.5,1.25375,255969.8333,147840.5833,0.577570339,5.186912774,Area.Other.Rabi.Pulses
